Using workdir /Users/karstenhaldan/minisite
Initialising login role...
Connecting to remote database...
Skipping migration 20270725000003a_p46_course_secdef_rpcs_test.sql... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260512000000 | 20260512000000 | 2026-05-12 00:00:00 
   20260512000001 | 20260512000001 | 2026-05-12 00:00:01 
   20260512000002 | 20260512000002 | 2026-05-12 00:00:02 
   20260513000000 | 20260513000000 | 2026-05-13 00:00:00 
   20260514000000 | 20260514000000 | 2026-05-14 00:00:00 
   20260514000001 | 20260514000001 | 2026-05-14 00:00:01 
   20260514000002 | 20260514000002 | 2026-05-14 00:00:02 
   20260514000003 | 20260514000003 | 2026-05-14 00:00:03 
   20260514000004 | 20260514000004 | 2026-05-14 00:00:04 
   20260514000005 | 20260514000005 | 2026-05-14 00:00:05 
   20260514000006 | 20260514000006 | 2026-05-14 00:00:06 
   20260514000007 | 20260514000007 | 2026-05-14 00:00:07 
   20260514000008 | 20260514000008 | 2026-05-14 00:00:08 
   20260514000009 | 20260514000009 | 2026-05-14 00:00:09 
   20260514000010 | 20260514000010 | 2026-05-14 00:00:10 
   20260519000001 | 20260519000001 | 2026-05-19 00:00:01 
   20260519000002 | 20260519000002 | 2026-05-19 00:00:02 
   20260519000003 | 20260519000003 | 2026-05-19 00:00:03 
   20260519000004 | 20260519000004 | 2026-05-19 00:00:04 
   20260519000005 | 20260519000005 | 2026-05-19 00:00:05 
   20260519000006 | 20260519000006 | 2026-05-19 00:00:06 
   20260519000007 | 20260519000007 | 2026-05-19 00:00:07 
   20260519000008 | 20260519000008 | 2026-05-19 00:00:08 
   20260519000009 | 20260519000009 | 2026-05-19 00:00:09 
   20260519000010 | 20260519000010 | 2026-05-19 00:00:10 
   20260519000011 | 20260519000011 | 2026-05-19 00:00:11 
   20260601000001 | 20260601000001 | 2026-06-01 00:00:01 
   20260601000002 | 20260601000002 | 2026-06-01 00:00:02 
   20260601000003 | 20260601000003 | 2026-06-01 00:00:03 
   20260601000004 | 20260601000004 | 2026-06-01 00:00:04 
   20260601000010 | 20260601000010 | 2026-06-01 00:00:10 
   20260601000011 | 20260601000011 | 2026-06-01 00:00:11 
   20260601000012 | 20260601000012 | 2026-06-01 00:00:12 
   20260601000013 | 20260601000013 | 2026-06-01 00:00:13 
   20260601000014 | 20260601000014 | 2026-06-01 00:00:14 
   20260601000015 | 20260601000015 | 2026-06-01 00:00:15 
   20260601000016 | 20260601000016 | 2026-06-01 00:00:16 
   20260601000017 | 20260601000017 | 2026-06-01 00:00:17 
   20260601000018 | 20260601000018 | 2026-06-01 00:00:18 
   20260601000019 | 20260601000019 | 2026-06-01 00:00:19 
   20260601000020 | 20260601000020 | 2026-06-01 00:00:20 
   20260601000030 | 20260601000030 | 2026-06-01 00:00:30 
   20260601000031 | 20260601000031 | 2026-06-01 00:00:31 
   20260601000032 | 20260601000032 | 2026-06-01 00:00:32 
   20260601000033 | 20260601000033 | 2026-06-01 00:00:33 
   20260601000034 | 20260601000034 | 2026-06-01 00:00:34 
   20260601000035 | 20260601000035 | 2026-06-01 00:00:35 
   20260701000001 | 20260701000001 | 2026-07-01 00:00:01 
   20260701000002 | 20260701000002 | 2026-07-01 00:00:02 
   20260701000003 | 20260701000003 | 2026-07-01 00:00:03 
   20260701000004 | 20260701000004 | 2026-07-01 00:00:04 
   20260801000000 | 20260801000000 | 2026-08-01 00:00:00 
   20260801000001 | 20260801000001 | 2026-08-01 00:00:01 
   20260801000002 | 20260801000002 | 2026-08-01 00:00:02 
   20260801000003 | 20260801000003 | 2026-08-01 00:00:03 
   20260801000004 | 20260801000004 | 2026-08-01 00:00:04 
   20260801000005 | 20260801000005 | 2026-08-01 00:00:05 
   20260801000006 | 20260801000006 | 2026-08-01 00:00:06 
   20260801000007 | 20260801000007 | 2026-08-01 00:00:07 
   20260801000008 | 20260801000008 | 2026-08-01 00:00:08 
   20260801000009 | 20260801000009 | 2026-08-01 00:00:09 
